YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,10m,50m,100m
2015,1,1,0,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,13.02,15.93,17.34
2015,1,1,1,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,12.47,15.26,16.60
2015,1,1,2,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,11.15,13.65,14.89
2015,1,1,3,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,10.42,12.78,13.99
2015,1,1,4,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,9.32,11.57,12.76
2015,1,1,5,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,7.34,9.36,10.56
2015,1,1,6,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,6.92,8.76,9.89
2015,1,1,7,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,8.04,9.81,10.63
2015,1,1,8,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,6.72,8.72,9.81
2015,1,1,9,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,5.77,7.93,9.29
2015,1,1,10,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,5.09,7.39,8.71
2015,1,1,11,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,4.20,6.63,7.75
2015,1,1,12,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,3.57,5.98,6.99
2015,1,1,13,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,3.45,5.80,7.10
2015,1,1,14,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,3.65,5.81,7.35
2015,1,1,15,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,3.99,5.87,7.34
2015,1,1,16,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,4.21,5.82,7.30
2015,1,1,17,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,4.02,5.54,7.17
2015,1,1,18,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,3.84,5.05,6.77
2015,1,1,19,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,3.93,4.68,6.47
2015,1,1,20,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,3.88,4.47,6.31
2015,1,1,21,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,3.92,4.36,6.25
2015,1,1,22,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,4.00,4.11,5.97
2015,1,1,23,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,3.90,3.70,5.52
2015,1,2,0,AWS_0460,-45.067696,60.156666,-45.097790,60.143532,3.62,3.72,5.42
